year,avg_tmax,avg_tmin,avg_temp,total_precip,station_count
1974,13.750750567997404,2.562708189812376,8.15672937890489,276914.7,282
1975,14.271295745161225,3.2761370627076243,8.773716403934422,302629.2,279
1976,13.249579149585092,1.770117503253026,7.509848326419057,308603.7,276
1977,13.744719992070573,2.6864483937659034,8.21558419291824,322424.2,273
1978,12.986365241230347,1.512283063413826,7.249324152322088,237195.4,266
1979,13.65432878343326,2.804260625145297,8.229294704289277,269642.6,257
1980,13.453526201782887,2.137025802966718,7.795276002374804,215042.9,249
1981,13.665580406005411,2.733019200099418,8.199299803052414,231262.9,246
1982,13.719213772593044,2.283706384402979,8.001460078498011,215585.9,239
1983,14.062458171103861,3.1188195920772905,8.590638881590577,261982.4,239
1984,13.832226468684084,2.967397831526272,8.399812150105179,247033.8,237
1985,13.785128599007743,2.813518226355559,8.299323412681652,216487.4,237
1986,13.665208555504133,3.0408970126419197,8.353052784073029,250704.6,234
1987,13.984019439100942,3.0362682333873585,8.51014383624415,220418.2,233
1988,13.750912527436794,2.3810885515110867,8.06600053947394,195971.7,232
1989,13.28259089579881,2.2167846348834943,7.749687765341154,243300.4,234
1990,14.973555070883314,4.048066104763202,9.510810587823258,277695.5,236
1991,15.158774456251862,3.7671737835153927,9.462974119883627,202358.9,233
1992,12.927222838461088,2.3400969286465023,7.633659883553795,239396.4,236
1993,13.372627424402495,2.217299948167936,7.7949636862852145,225020.8,233
1994,13.390372228481537,1.9846909067726375,7.6875315676270874,225147.7,233
1995,13.80829785840592,2.7637334556414626,8.286015657023693,191721.4,224
1996,13.17505710866964,2.7721536857651707,7.973605397217405,261580.6,216
1997,13.455791769474798,2.5351192829840516,7.995455526229425,192972.7,215
1998,15.4122029058537,4.623748898863208,10.017975902358453,204113.0,221
1999,14.937179809667546,3.295428846637072,9.11630432815231,197869.6,215
2000,13.334220453936382,2.5888284165172037,7.961524435226793,228675.6,216
2001,14.847449379355849,3.585809793037988,9.216629586196918,167321.2,218
2002,14.686567406056923,3.742693670886076,9.214630538471498,215723.7,215
2003,13.335121300242998,2.6401553630116523,7.987638331627327,234792.2,217
2004,13.698195211786372,3.1017573740032516,8.399976292894811,267234.1,261
2005,14.402604217657771,3.304893951296151,8.85374908447696,275112.8,277
2006,14.852117059802291,4.384883698144265,9.618500378973279,284409.5,264
2007,14.20260175322461,3.089611954687877,8.646106853956244,251431.4,324
2008,14.18369992540473,3.250376091471899,8.717038008438315,344684.9,419
2009,13.569546945268161,2.856629465162887,8.213088205215525,383871.6,492
2010,14.742761114823695,4.174361898769025,9.45856150679636,422090.2,500
2011,14.657629467417152,4.0627759334679485,9.36020270044255,555823.8,525
2012,15.659753963532006,4.614968342253472,10.137361152892739,398009.3,525
2013,13.783688288355728,3.012878887162301,8.398283587759016,443197.2,533
2014,13.119209555327323,2.2222304705344906,7.670720012930906,430449.0,526
2015,14.205407973245165,2.6716869188202406,8.4385474460327,412176.8,514
2016,15.13732766122015,3.6674192986193144,9.402373479919731,401213.6,572
2017,14.372561121286932,3.8514991533021217,9.112030137294527,556376.4,605
2018,13.841273406750686,3.7548460298186597,8.798059718284671,602998.7,599
2019,13.716544740566508,2.926491646778043,8.321518193672274,589490.4,628
2020,14.954796199816121,4.234137591734656,9.594466895775389,509057.3,654
2021,14.815350598833044,4.5355384080070404,9.675444503420042,617870.6,671
2022,14.659486222732491,3.227247749687314,8.943366986209904,539244.9,665
2023,15.087760405572359,4.774760091069643,9.931260248321001,604222.6,673
2024,15.444113109453262,5.024983630103711,10.234548369778487,600167.2,689
